id,user_id,actor_id,verb,target_type,target_id,target_label,target_slug,is_read,created_at
206,693ebb02-ab3f-5d60-b798-d4d4df4900d2,d9fbcbde-376a-5f82-9fb5-268a24b02d57,task_assigned,project,112,Quiet-seat map,quiet-seat-map,true,2026-07-07T03:30:00+00:00
207,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,d9fbcbde-376a-5f82-9fb5-268a24b02d57,task_assigned,project,112,Quiet-seat map,quiet-seat-map,true,2026-07-07T04:30:00+00:00
208,90cced0e-f2c7-528c-bd28-38c44ead6c98,d9fbcbde-376a-5f82-9fb5-268a24b02d57,task_assigned,project,112,Quiet-seat map,quiet-seat-map,true,2026-07-07T05:30:00+00:00
209,518ae987-15f7-5b22-8bcc-df59623dbdce,001e944b-e64e-5742-afb7-5e04327e41ee,task_assigned,project,113,Borrowbox,borrowbox,true,2026-07-16T23:30:00+00:00
210,518ae987-15f7-5b22-8bcc-df59623dbdce,001e944b-e64e-5742-afb7-5e04327e41ee,task_assigned,project,113,Borrowbox,borrowbox,true,2026-07-17T01:30:00+00:00
211,518ae987-15f7-5b22-8bcc-df59623dbdce,001e944b-e64e-5742-afb7-5e04327e41ee,task_assigned,project,113,Borrowbox,borrowbox,true,2026-07-17T03:30:00+00:00
212,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,task_assigned,project,114,Deadline fridge,deadline-fridge,true,2026-08-18T01:30:00+00:00
213,53f78f7e-e2df-586b-b483-5748c92d0f9f,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,task_assigned,project,114,Deadline fridge,deadline-fridge,true,2026-08-18T02:30:00+00:00
214,0947c4b9-50d6-50e2-9043-84a15b80e8c7,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,task_assigned,project,114,Deadline fridge,deadline-fridge,true,2026-08-18T03:30:00+00:00
215,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,task_assigned,project,114,Deadline fridge,deadline-fridge,true,2026-08-18T05:30:00+00:00
216,53f78f7e-e2df-586b-b483-5748c92d0f9f,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,task_assigned,project,114,Deadline fridge,deadline-fridge,true,2026-08-18T06:30:00+00:00
217,0947c4b9-50d6-50e2-9043-84a15b80e8c7,a992f17b-79b6-5dcf-aed4-2aebaa5775c7,task_assigned,project,114,Deadline fridge,deadline-fridge,true,2026-08-18T07:30:00+00:00
218,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,f22a7317-9c2b-5d13-99b9-1a1622094bb3,task_assigned,project,115,Repair café notes,repair-cafe-notes,true,2026-07-26T20:30:00+00:00
219,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,f22a7317-9c2b-5d13-99b9-1a1622094bb3,task_assigned,project,115,Repair café notes,repair-cafe-notes,true,2026-07-26T22:30:00+00:00
220,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,f22a7317-9c2b-5d13-99b9-1a1622094bb3,task_assigned,project,115,Repair café notes,repair-cafe-notes,true,2026-07-27T00:30:00+00:00
221,f22a7317-9c2b-5d13-99b9-1a1622094bb3,1dd6da2f-292d-52b5-8e0e-a84885e81ba1,project_update,project,115,Repair café notes,repair-cafe-notes,true,2026-09-15T10:30:00+00:00
222,eeeb9e89-042f-5fdc-8fcf-2c3ad56f9bf1,daa36188-60fd-56a2-938b-70b1b51084b0,task_assigned,project,116,Receipt split notebook,receipt-split-notebook,true,2026-08-29T06:30:00+00:00
223,d48cab4b-e48b-59ae-88d6-41d5d463569d,daa36188-60fd-56a2-938b-70b1b51084b0,task_assigned,project,116,Receipt split notebook,receipt-split-notebook,true,2026-08-29T07:30:00+00:00
224,729fe171-fa0d-547e-b374-39bd19f4c645,daa36188-60fd-56a2-938b-70b1b51084b0,task_assigned,project,116,Receipt split notebook,receipt-split-notebook,true,2026-08-29T08:30:00+00:00
225,878bb7d9-5569-5efb-bbd1-5e39d62d594d,daa36188-60fd-56a2-938b-70b1b51084b0,task_assigned,project,116,Receipt split notebook,receipt-split-notebook,true,2026-08-29T09:30:00+00:00
226,daa36188-60fd-56a2-938b-70b1b51084b0,e0b64119-ecb0-52a5-852d-39c211ce337a,project_join_request,project,116,Receipt split notebook,receipt-split-notebook,true,2026-09-14T10:30:00+00:00
227,b39a9d3d-f3eb-5d31-9cc7-15e278969b70,1bc15434-bc22-56cc-a890-336efd2a11e5,task_assigned,project,117,Lunch leftovers board,lunch-leftovers-board,true,2026-08-27T06:30:00+00:00
228,878bb7d9-5569-5efb-bbd1-5e39d62d594d,1bc15434-bc22-56cc-a890-336efd2a11e5,task_assigned,project,117,Lunch leftovers board,lunch-leftovers-board,true,2026-08-27T07:30:00+00:00
229,484e243b-afd7-5767-bb0f-4262c0334aea,1bc15434-bc22-56cc-a890-336efd2a11e5,task_assigned,project,117,Lunch leftovers board,lunch-leftovers-board,true,2026-08-27T08:30:00+00:00
230,bf54d417-d834-5d3e-a7f9-106377fe05a5,1bc15434-bc22-56cc-a890-336efd2a11e5,task_assigned,project,117,Lunch leftovers board,lunch-leftovers-board,true,2026-08-27T09:30:00+00:00
231,c6286e16-5e03-594c-aa67-861b8ba91b33,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,task_assigned,project,118,Fieldwork logbook,fieldwork-logbook,true,2026-08-23T09:30:00+00:00
232,ef763ec1-f93c-5744-9640-4ca59adf9347,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,task_assigned,project,118,Fieldwork logbook,fieldwork-logbook,true,2026-08-23T10:30:00+00:00
233,c6286e16-5e03-594c-aa67-861b8ba91b33,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,task_assigned,project,118,Fieldwork logbook,fieldwork-logbook,true,2026-08-23T12:30:00+00:00
234,36016ab9-3cc9-5f6a-8bc7-1d138ad9cb43,c6286e16-5e03-594c-aa67-861b8ba91b33,project_update,project,118,Fieldwork logbook,fieldwork-logbook,false,2026-09-18T10:30:00+00:00
